cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
ya9klbbm,4b9cb15af75e429b8f9808909e79fb9be44720b0,PMC,Case-based reported mortality associated with laboratory-confirmed influenza A(H1N1) 2009 virus infection in the Netherlands: the 2009-2010 pandemic season versus the 2010-2011 influenza season,10.1186/1471-2458-11-758,PMC3198709,21970457,cc-by,"BACKGROUND: In contrast to seasonal influenza epidemics, where the majority of deaths occur amongst elderly, a considerable part of the 2009 pandemic influenza related deaths concerned relatively young people. In the Netherlands, all deaths associated with laboratory-confirmed influenza A(H1N1) 2009 virus infection had to be notified, both during the 2009-2010 pandemic season and the 2010-2011 influenza season. To assess whether and to what extent pandemic mortality patterns were reverting back to seasonal patterns, a retrospective analyses of all notified fatal cases associated with laboratory-confirmed influenza A(H1N1) 2009 virus infection was performed. METHODS: The notification database, including detailed information about the clinical characteristics of all notified deaths, was used to perform a comprehensive analysis of all deceased patients with a laboratory-confirmed influenza A(H1N1) 2009 virus infection. Characteristics of the fatalities with respect to age and underlying medical conditions were analysed, comparing the 2009-2010 pandemic and the 2010-2011 influenza season. RESULTS: A total of 65 fatalities with a laboratory-confirmed influenza A(H1N1) 2009 virus infection were notified in 2009-2010 and 38 in 2010-2011. During the pandemic season, the population mortality rates peaked in persons aged 0-15 and 55-64 years. In the 2010-2011 influenza season, peaks in mortality were seen in persons aged 0-15 and 75-84 years. During the 2010-2011 influenza season, the height of first peak was lower compared to that during the pandemic season. Underlying immunological disorders were more common in the pandemic season compared to the 2010-2011 season (p = 0.02), and cardiovascular disorders were more common in the 2010-2011 season (p = 0.005). CONCLUSIONS: The mortality pattern in the 2010-2011 influenza season still resembled the 2009-2010 pandemic season with a peak in relatively young age groups, but concurrently a clear shift toward seasonal patterns was seen, with a peak in mortality in the elderly, i.e. ≥ 75 years of age.",2011-10-04,"van Gageldonk-Lafeber, Rianne AB; Riesmeijer, Rob M; Friesema, Ingrid HM; Meijer, Adam; Isken, Leslie D; Timen, Aura; van der Sande, Marianne AB",BMC Public Health,,,,document_parses/pdf_json/4b9cb15af75e429b8f9808909e79fb9be44720b0.json,document_parses/pmc_json/PMC3198709.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3198709/,
2gr4n3ld,c0a39e0aaa5566362f32ead0b27cf6a840b271ff,PMC,DNA-aided identification of Culex mosquitoes (Diptera: Culicidae) reveals unexpected diversity in underground cavities in Austria,10.1007/s00436-019-06277-y,PMC6478630,30919062,cc-by,"Subterranean cavities serve as resting places and hibernation shelters for mosquitoes. In Europe, members of the genus Culex are often the most abundant insects on cave walls. Culex pipiens L., the common house mosquito, exists in two physically very similar, yet genetically and ecologically distinct biotypes (or forms, ‘f.’), namely Cx. pipiens f. pipiens and Cx. pipiens f. molestus. Autogeny and stenogamy of the latter form have been interpreted as adaptations to underground habitats. The epigean occurrence of the two biotypes and their hybrids was recently examined in Eastern Austria, but the hypogean distribution of the Cx. pipiens complex and morphologically similar non-members such as Cx. torrentium is unknown. Considering the key role of Culex mosquitoes in the epidemiology of certain zoonotic pathogens, the general paucity of data on species composition and relative abundance in subterranean shelters appears unfortunate. For a first pertinent investigation in Austria, we collected mosquitoes in four eastern federal states. Based on analyses of the ACE2 gene and the CQ11 microsatellite locus, 150 female and three male mosquitoes of the genus Culex, two females of the genus Culiseta and a single female of the genus Anopheles were determined to species level or below. In our catches, Cx. pipiens f. pipiens exceeded the apparent abundance of the purportedly cave-adapted Cx. pipiens f. molestus many times over. Records of Cx. hortensis and Cx. territans, two species rarely collected in Austria, lead us to infer that underground habitats host a higher diversity of culicine mosquitoes than previously thought.",2019-03-27,"Zittra, Carina; Moog, Otto; Christian, Erhard; Fuehrer, Hans-Peter",Parasitol Res,,,,document_parses/pdf_json/c0a39e0aaa5566362f32ead0b27cf6a840b271ff.json,document_parses/pmc_json/PMC6478630.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6478630/,
dxbrk9kd,d4ea57e72c426571255c1c45861db4c6b46b95d5,PMC,Pathogenic Mouse Hepatitis Virus or Poly(I:C) Induce IL-33 in Hepatocytes in Murine Models of Hepatitis,10.1371/journal.pone.0074278,PMC3772926,24058536,cc-by,"The IL-33/ST2 axis is known to be involved in liver pathologies. Although, the IL-33 levels increased in sera of viral hepatitis patients in human, the cellular sources of IL-33 in viral hepatitis remained obscure. Therefore, we aimed to investigate the expression of IL-33 in murine fulminant hepatitis induced by a Toll like receptor (TLR3) viral mimetic, poly(I:C) or by pathogenic mouse hepatitis virus (L2-MHV3). The administration of poly(I:C) plus D-galactosamine (D-GalN) in mice led to acute liver injury associated with the induction of IL-33 expression in liver sinusoidal endothelial cells (LSEC) and vascular endothelial cells (VEC), while the administration of poly(I:C) alone led to hepatocyte specific IL-33 expression in addition to vascular IL-33 expression. The hepatocyte-specific IL-33 expression was down-regulated in NK-depleted poly(I:C) treated mice suggesting a partial regulation of IL-33 by NK cells. The CD1d KO (NKT deficient) mice showed hepatoprotection against poly(I:C)-induced hepatitis in association with increased number of IL-33 expressing hepatocytes in CD1d KO mice than WT controls. These results suggest that hepatocyte-specific IL-33 expression in poly(I:C) induced liver injury was partially dependent of NK cells and with limited role of NKT cells. In parallel, the L2-MHV3 infection in mice induced fulminant hepatitis associated with up-regulated IL-33 expression as well as pro-inflammatory cytokine microenvironment in liver. The LSEC and VEC expressed inducible expression of IL-33 following L2-MHV3 infection but the hepatocyte-specific IL-33 expression was only evident between 24 to 32h of post infection. In conclusion, the alarmin cytokine IL-33 was over-expressed during fulminant hepatitis in mice with LSEC, VEC and hepatocytes as potential sources of IL-33.",2013-09-13,"Arshad, Muhammad Imran; Patrat-Delon, Solène; Piquet-Pellorce, Claire; L’Helgoualc’h, Annie; Rauch, Michel; Genet, Valentine; Lucas-Clerc, Catherine; Bleau, Christian; Lamontagne, Lucie; Samson, Michel",PLoS One,,,,document_parses/pdf_json/d4ea57e72c426571255c1c45861db4c6b46b95d5.json,document_parses/pmc_json/PMC3772926.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3772926/,
ygf165x2,41ff5ec3c2669f447898fdefc2560d714bb0b66c,PMC,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",10.1186/s12951-020-0588-6,PMC7029462,32070354,cc-by,"BACKGROUND: Novel methods are necessary to reduce morbidity and mortality of patients suffering from infections with Pseudomonas aeruginosa. Being the most common infectious species of the Pseudomonas genus, P. aeruginosa is the primary Gram-negative etiology responsible for nosocomial infections. Due to the ubiquity and high adaptability of this species, an effective universal treatment method for P. aeruginosa infection still eludes investigators, despite the extensive research in this area. RESULTS: We report bacterial inhibition by iron-oxide (nominally magnetite) nanoparticles (NPs) alone, having a mean hydrodynamic diameter of ~ 16 nm, as well as alginate-capped iron-oxide NPs. Alginate capping increased the average hydrodynamic diameter to ~ 230 nm. We also investigated alginate-capped iron-oxide NP-drug conjugates, with a practically unchanged hydrodynamic diameter of ~ 232 nm. Susceptibility and minimum inhibitory concentration (MIC) of the NPs, NP-tobramycin conjugates, and tobramycin alone were determined in the PAO1 bacterial colonies. Investigations into susceptibility using the disk diffusion method were done after 3 days of biofilm growth and after 60 days of growth. MIC of all compounds of interest was determined after 60-days of growth, to ensure thorough establishment of biofilm colonies. CONCLUSIONS: Positive inhibition is reported for uncapped and alginate-capped iron-oxide NPs, and the corresponding MICs are presented. We report zero susceptibility to iron-oxide NPs capped with polyethylene glycol, suggesting that the capping agent plays a major role in enabling bactericidal ability in of the nanocomposite. Our findings suggest that the alginate-coated nanocomposites investigated in this study have the potential to overcome the bacterial biofilm barrier. Magnetic field application increases the action, likely via enhanced diffusion of the iron-oxide NPs and NP-drug conjugates through mucin and alginate barriers, which are characteristic of cystic-fibrosis respiratory infections. We demonstrate that iron-oxide NPs coated with alginate, as well as alginate-coated magnetite–tobramycin conjugates inhibit P. aeruginosa growth and biofilm formation in established colonies. We have also determined that susceptibility to tobramycin decreases for longer culture times. However, susceptibility to the iron-oxide NP compounds did not demonstrate any comparable decrease with increasing culture time. These findings imply that iron-oxide NPs are promising lower-cost alternatives to silver NPs in antibacterial coatings, solutions, and drugs, as well as other applications in which microbial abolition or infestation prevention is sought.",2020-02-18,"Armijo, Leisha M.; Wawrzyniec, Stephen J.; Kopciuch, Michael; Brandt, Yekaterina I.; Rivera, Antonio C.; Withers, Nathan J.; Cook, Nathaniel C.; Huber, Dale L.; Monson, Todd C.; Smyth, Hugh D. C.; Osiński, Marek",J Nanobiotechnology,,,,document_parses/pdf_json/41ff5ec3c2669f447898fdefc2560d714bb0b66c.json,document_parses/pmc_json/PMC7029462.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029462/,
3tt99oax,5caf6fa187000ae494d50b2ed2ab15911b7da3b6,PMC,Polyomaviruses KI and WU in Immunocompromised Patients with Respiratory Disease,10.3201/1501.080758,PMC2662633,19116066,no-cc,"Polyomaviruses KI (KIPyV) and WU (WUPyV) were recently identified, mainly in respiratory specimens from children. Among 200 patients with respiratory disorders admitted to Saint Louis Hospital, Paris, France, KIPyV was detected in 8% and WUPyV in 1%. KIPyV was significantly more frequent among human stem cell transplant patients (17.8% vs. 5.1%; p = 0.01).",2009-01-03,"Mourez, Thomas; Bergeron, Anne; Ribaud, Patricia; Scieux, Catherine; Peffault de Latour, Régis; Tazi, Abdellatif; Socié, Gérard; Simon, François; LeGoff, Jérôme",Emerg Infect Dis,,,,document_parses/pdf_json/5caf6fa187000ae494d50b2ed2ab15911b7da3b6.json,document_parses/pmc_json/PMC2662633.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2662633/,
fqdv3ohv,7f67a850db06d9b9e3f63d9943e2b1fc5a72ca8f,PMC,Illuminating pathogen–host intimacy through optogenetics,10.1371/journal.ppat.1007046,PMC6042787,30001435,cc-by,"The birth and subsequent evolution of optogenetics has resulted in an unprecedented advancement in our understanding of the brain. Its outstanding success does usher wider applications; however, the tool remains still largely relegated to neuroscience. Here, we introduce selected aspects of optogenetics with potential applications in infection biology that will not only answer long-standing questions about intracellular pathogens (parasites, bacteria, viruses) but also broaden the dimension of current research in entwined models. In this essay, we illustrate how a judicious integration of optogenetics with routine methods can illuminate the host–pathogen interactions in a way that has not been feasible otherwise.",2018-07-12,"Arroyo-Olarte, Ruben Dario; Thurow, Laura; Kozjak-Pavlovic, Vera; Gupta, Nishith",PLoS Pathog,,,,document_parses/pdf_json/7f67a850db06d9b9e3f63d9943e2b1fc5a72ca8f.json,document_parses/pmc_json/PMC6042787.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042787/,
isrb4y3p,7b2ce72842bc40763d6f9696a8f4280d741cc5a3; 41b659ac51b4f4596b414e93c5dd220b26386f34,PMC,"Avian influenza surveillance in domestic waterfowl and environment of live bird markets in Bangladesh, 2007–2012",10.1038/s41598-018-27515-w,PMC6010472,29925854,cc-by,"Avian influenza viruses, including highly pathogenic strains, pose severe economic, animal and public health concerns. We implemented live bird market surveillance in Bangladesh to identify the subtypes of avian influenza A viruses in domestic waterfowl and market environments. We collected waterfowl samples monthly from 4 rural sites from 2007 to 2012 and environmental samples from 4 rural and 16 urban sites from 2009 to 2012. Samples were tested through real-time RT-PCR, virus culture, and sequencing to detect and characterize avian influenza A viruses. Among 4,308 waterfowl tested, 191 (4.4%) were positive for avian influenza A virus, including 74 (1.9%) avian influenza A/H5 subtype. The majority (99%, n = 73) of the influenza A/H5-positive samples were from healthy appearing waterfowl. Multiple subtypes, including H1N1, H1N3, H3N2, H3N6, H3N8, H4N1, H4N2, H4N6, H5N1 (clades 2.2.2, 2.3.2.1a, 2.3.4.2), H5N2, H6N1, H7N9, H9N2, H11N2 and H11N3, H11N6 were detected in waterfowl and environmental samples. Environmental samples tested positive for influenza A viruses throughout the year. Avian influenza viruses, including H5N1 and H9N2 subtypes were also identified in backyard and small-scale raised poultry. Live bird markets could be high-risk sites for harboring the viruses and have the potential to infect naive birds and humans exposed to them.",2018-06-20,"Khan, Salah Uddin; Gurley, Emily S.; Gerloff, Nancy; Rahman, Md Z.; Simpson, Natosha; Rahman, Mustafizur; Haider, Najmul; Chowdhury, Sukanta; Balish, Amanda; Zaman, Rashid Uz; Nasreen, Sharifa; Chandra Das, Bidhan; Azziz-Baumgartner, Eduardo; Sturm-Ramirez, Katharine; Davis, C. Todd; Donis, Ruben O.; Luby, Stephen P.",Sci Rep,,,,document_parses/pdf_json/7b2ce72842bc40763d6f9696a8f4280d741cc5a3.json; document_parses/pdf_json/41b659ac51b4f4596b414e93c5dd220b26386f34.json,document_parses/pmc_json/PMC6010472.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6010472/,
h8xxpbr6,9ba1128dfcbbe8a753c6e1a7dbeed0e95a981917,PMC,Missing and accounted for: gaps and areas of wealth in the public health review literature,10.1186/1471-2458-11-757,PMC3229615,21967658,cc-by,"BACKGROUND: High-quality review evidence is useful for informing and influencing public health policy and practice decisions. However, certain topic areas lack representation in terms of the quantity and quality of review literature available. The objectives of this paper are to identify the quantity, as well as quality, of review-level evidence available on the effectiveness of public health interventions for public health decision makers. METHODS: Searches conducted on http://www.health-evidence.ca produced an inventory of public health review literature in 21 topic areas. Gaps and areas of wealth in the review literature, as well as the proportion of reviews rated methodologically strong, moderate, or weak were identified. The top 10 topic areas of interest for registered users and visitors of http://www.health-evidence.ca were extracted from user profile data and Google Analytics. RESULTS: Registered users' top three interests included: 1) healthy communities, 2) chronic diseases, and 3) nutrition. The top three preferences for visitors included: 1) chronic diseases, 2) physical activity, and 3) addiction/substance use. All of the topic areas with many (301+) available reviews were of interest to registered users and/or visitors (mental health, physical activity, addiction/substance use, adolescent health, child health, nutrition, adult health, and chronic diseases). Conversely, the majority of registered users and/or visitors did not have preference for topic areas with few (≤ 150) available reviews (food safety and inspection, dental health, environmental health) with the exception of social determinants of health and healthy communities. Across registered users' and visitors' topic areas of preference, 80.2% of the reviews were of well-done methodological quality, with 43.5% of reviews having a strong quality rating and 36.7% a moderate review quality rating. CONCLUSIONS: In topic areas in which many reviews are available, higher level syntheses are needed to guide policy and practice. For other topic areas with few reviews, it is necessary to determine whether primary study evidence exists, or is needed, so that reviews can be conducted in the future. Considering that less than half of the reviews available on http://www.health-evidence.ca are of strong methodological quality, the quality of the review-level evidence needs to improve across the range of public health topic areas.",2011-10-03,"Tirilis, Daiva; Husson, Heather; DeCorby, Kara; Dobbins, Maureen",BMC Public Health,,,,document_parses/pdf_json/9ba1128dfcbbe8a753c6e1a7dbeed0e95a981917.json,document_parses/pmc_json/PMC3229615.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3229615/,
cgcf7mgj,45694460eb735606f756b5850caced2cd8b313d9,PMC,Evaluation of potential anti-toxoplasmosis efficiency of combined traditional herbs in a mouse model,10.1631/jzus.b1600316,PMC5482040,28585421,bronze-oa,"Toxoplasma gondii is a worldwide spread protozoan and is able to infect almost all warm-blood animals. No effective drugs are available clinically on toxoplasmosis. Chinese traditional herbal medicines have provided remedies for many health problems. There exists a possibility that Chinese herbs may provide protection against T. gondii. This work aims to assess the protective efficacy of combined Chinese herbs against T. gondii. We screened five herbal medicines that have different pharmacological effects and combined them into a prescription according to the traditional Chinese medicine compatibility principle. The drug potential and protective efficacy were evaluated through a mouse model by determining the survival time, the parasite load in blood and tissues, the change of cell proportions in blood and histological detection. The results showed that the survival time of mice in the 500 mg Chinese herbs group and sulfadiazine group was significantly longer than that of the PBS control group. Also the parasite load in blood and tissues of 500 mg Chinese herbs and sulfadiazine groups was significantly lower than that of PBS group at 7 days post infection (dpi), which was in accordance with the result of histological detection. Monocyte and neutrophil of infected mice were remarkably increased while lymphocyte was dramatically decreased compared to that of blank group at 7 dpi. The results demonstrated that the 500 mg dosage of our Chinese herbs could slow down the replication of T. gondii and prolong the survival time of mice and could be considered as possible candidate drug against toxoplasmosis.",2017-06-01,"Zhuo, Xun-hui; Sun, Hong-chao; Huang, Bin; Yu, Hai-jie; Shan, Ying; Du, Ai-fang",Journal of Zhejiang University-SCIENCE B,,,,document_parses/pdf_json/45694460eb735606f756b5850caced2cd8b313d9.json,document_parses/pmc_json/PMC5482040.xml.json,https://link.springer.com/content/pdf/10.1631/jzus.B1600316.pdf,
ptsuhbod,7a127771726a4021821b1741661518a10cc1f73f,PMC,Early infantile pertussis; increasingly prevalent and potentially fatal,10.1007/pl00008365,PMC7086691,11131347,no-cc,"We report nine cases of severe early pertussis in infants less than 7 weeks of age. Clinical features at this age are atypical and may be confused with more common illnesses such as bronchiolitis. All were very difficult to manage. Ventilation was required for apnoeas in five cases, seizures in two or respiratory failure in two. Complications included hypotension in seven cases, pulmonary hypertension in one, pneumothoraces in two, seizures in five and co-infection in five. Two cases were referred for extracorporeal membrane oxygenation and six died. Infection was confirmed either at post mortem or by culture from pernasal swabs. The mother or other close family members were symptomatic at the time and thought to be the source of infection. Conclusion The nine cases suggest a significant resurgence of the infection, which may be fatal in early life. If reporting continues to increase, the immunisation schedule will need to be reviewed and secondary transmission prevented where possible, to protect this vulnerable pre-immunisation group.",2000,"Smith, Craig; Vyas, Harish",Eur J Pediatr,,,,document_parses/pdf_json/7a127771726a4021821b1741661518a10cc1f73f.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086691/,
ob2xoxlq,c9fca01d18bac485ae1c5257a712c516aeea8408,PMC,Discovery and Targeted LC-MS/MS of Purified Polerovirus Reveals Differences in the Virus-Host Interactome Associated with Altered Aphid Transmission,10.1371/journal.pone.0048177,PMC3484124,23118947,cc0,"Circulative transmission of viruses in the Luteoviridae, such as cereal yellow dwarf virus (CYDV), requires a series of precisely orchestrated interactions between virus, plant, and aphid proteins. Natural selection has favored these viruses to be retained in the phloem to facilitate acquisition and transmission by aphids. We show that treatment of infected oat tissue homogenate with sodium sulfite reduces transmission of the purified virus by aphids. Transmission electron microscopy data indicated no gross change in virion morphology due to treatments. However, treated virions were not acquired by aphids through the hindgut epithelial cells and were not transmitted when injected directly into the hemocoel. Analysis of virus preparations using nanoflow liquid chromatography coupled to tandem mass spectrometry revealed a number of host plant proteins co-purifying with viruses, some of which were lost following sodium sulfite treatment. Using targeted mass spectrometry, we show data suggesting that several of the virus-associated host plant proteins accumulated to higher levels in aphids that were fed on CYDV-infected plants compared to healthy plants. We propose two hypotheses to explain these observations, and these are not mutually exclusive: (a) that sodium sulfite treatment disrupts critical virion-host protein interactions required for aphid transmission, or (b) that host infection with CYDV modulates phloem protein expression in a way that is favorable for virus uptake by aphids. Importantly, the genes coding for the plant proteins associated with virus may be examined as targets in breeding cereal crops for new modes of virus resistance that disrupt phloem-virus or aphid-virus interactions.",2012-10-30,"Cilia, Michelle; Peter, Kari A.; Bereman, Michael S.; Howe, Kevin; Fish, Tara; Smith, Dawn; Gildow, Fredrick; MacCoss, Michael J.; Thannhauser, Theodore W.; Gray, Stewart M.",PLoS One,,,,document_parses/pdf_json/c9fca01d18bac485ae1c5257a712c516aeea8408.json,document_parses/pmc_json/PMC3484124.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3484124/,
gq1omz6u,8be183b59a7ccf2598c301d4c465f559d11ad80a,PMC,Long-term follow-up and treatment of congenital alveolar proteinosis,10.1186/1471-2431-11-72,PMC3175167,21849033,cc-by,"BACKGROUND: Clinical presentation, diagnosis, management and outcome of molecularly defined congenital pulmonary alveolar proteinosis (PAP) due to mutations in the GM-CSF receptor are not well known. CASE PRESENTATION: A 2 1/2 years old girl was diagnosed as having alveolar proteinosis. Whole lung lavages were performed with a new catheter balloon technique, feasible in small sized airways. Because of some interstitial inflammation in the lung biopsy and to further improve the condition, empirical therapy with systemic steroids and azathioprin, and inhaled and subcutaneous GMCSF, were used. Based on clinical measures, total protein and lipid recovered by whole lung lavages, all these treatments were without benefit. Conversely, severe respiratory viral infections and an invasive aspergillosis with aspergilloma formation occurred. Recently the novel homozygous stop mutation p.Ser25X of the GMCSF receptor alpha chain was identified in the patient. This mutation leads to a lack of functional GMCSF receptor and a reduced response to GMCSF stimulation of CD11b expression of mononuclear cells of the patient. Subsequently a very intense treatment with monthly lavages was initiated, resulting for the first time in complete resolution of partial respiratory insufficiency and a significant improvement of the overall somato-psychosocial condition of the child. CONCLUSIONS: The long term management from early childhood into young adolescence of severe alveolar proteinosis due to GMCSF receptor deficiency requires a dedicated specialized team to perform technically demanding whole lung lavages and cope with complications.",2011-08-17,"Griese, Matthias; Ripper, Jan; Sibbersen, Anke; Lohse, Pia; Lohse, Peter; Brasch, Frank; Schams, Andrea; Pamir, Asli; Schaub, Bianca; Muensterer, Oliver J; Schön, Carola; Glöckner-Pagel, Judith; Nicolai, Thomas; Reiter, Karl; Hector, Andreas",BMC Pediatr,,,,document_parses/pdf_json/8be183b59a7ccf2598c301d4c465f559d11ad80a.json,document_parses/pmc_json/PMC3175167.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3175167/,
ycdaw2vh,7a8f035845b43c4e3b01a3034bff85a7ae9b8dfc,PMC,Zika Vaccine Development—Current Progress and Challenges for the Future,10.3390/tropicalmed4030104,PMC6789600,31337115,cc-by,"Zika virus is an emergent pathogen that gained significant importance during the epidemic in South and Central America as unusual and alarming complications of infection were recognized. Although initially considered a self-limited benign infection, a panoply of neurologic complications were recognized including a Guillain–Barré-like syndrome and in-utero fetal infection causing microcephaly, blindness, and other congenital neurologic complications. Numerous Zika virus vaccines were developed, with nine different vaccines representing five different platforms entered into clinical trials, one progressing to Phase II. Here we review the current landscape and challenges confronting Zika virus vaccine development.",2019-07-14,"Maslow, Joel N.",Trop Med Infect Dis,,,,document_parses/pdf_json/7a8f035845b43c4e3b01a3034bff85a7ae9b8dfc.json,document_parses/pmc_json/PMC6789600.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6789600/,
gdocdp1x,01be6aef7ae6555eef2062bddb57f8643d1244e9,PMC,"Antiviral Activity of Exopolysaccharides Produced by Lactic Acid Bacteria of the Genera Pediococcus, Leuconostoc and Lactobacillus against Human Adenovirus Type 5",10.3390/medicina55090519,PMC6780409,31443536,cc-by,"Background and objectives: The use of antagonistic probiotic microorganisms and their byproducts represents a promising approach for the treatment of viral diseases. In the current work, the effect of exopolysaccharides (EPSs) produced by lactic acid bacteria from different genera on the structural and functional characteristics of cells and the development of adenoviral infection in vitro was studied. Materials and Methods: Cytotoxicity of six EPSs of lactic acid bacteria of the genera Lactobacillus, Leuconostoc and Pediococcus was determined by MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide) assay. The influence of the EPSs on the infectivity of human adenovirus type 5 (HAdV-5) and on the cell cycle under a condition of adenovirus infection was studied using plaque reduction assay and flow cytometric analysis, respectively. Results: It was shown that exopolysaccharides were non-toxic to Madin-Darby bovine kidney cells (MDBK) as they reduced their viability by 3–17%. A change in the distribution of the cell cycle phases in the non-infected cell population treated with EPSs was observed. The analysis demonstrated an increase in the number of cells in the S phase by 47% when using EPSs 15a and a decrease in the number of cells in the G1 phase by 20–27% when treated with the EPSs 15a, 33a, and 19s. The use of EPSs did not led to the normalization of the life cycle of HAdV-5 infected cells to the level of non-infected cells. The EPSs showed low virucidal activity and reduced the HAdV-5 infectivity to 85%. Among the studied exopolysaccharides, anti-adenovirus activity was found for EPS 26a that is produced by Lactobacillus spp. strain. The treatment of cells with the EPS following virus adsorption completely (100%) suppressed the formation and release of HAdV-5 infectious. Conclusions: EPS 26a possessed distinct anti-HAdV-5 activity and the obtained data demonstrate the potential of using exopolysaccharides as anti-adenoviral agents.",2019-08-22,"Biliavska, Liubov; Pankivska, Yulia; Povnitsa, Olga; Zagorodnya, Svitlana",Medicina (Kaunas),,,,document_parses/pdf_json/01be6aef7ae6555eef2062bddb57f8643d1244e9.json,document_parses/pmc_json/PMC6780409.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6780409/,
puj74k7y,5c10b401cc688e4f966e2ab5f41ab3a056685a3d,PMC,The Panhandle Formed by Influenza A and C Virus NS Non-Coding Regions Determines NS Segment Expression,10.1371/journal.pone.0081550,PMC3858493,24348921,cc-by,"Exchange of the extremities of the NS segment of type A and C influenza viruses in reverse genetics systems was used to assess their putative role in type specificity. Restoration of each specific proximal panhandle was mandatory to allow the rescue of viruses with heterotypic extremities. Moreover, the transcription level of the modified segment seemed to be directly affected by the distal panhandle strength.",2013-11-21,"Crescenzo-Chaigne, Bernadette; Barbezange, Cyril; van der Werf, Sylvie",PLoS One,,,,document_parses/pdf_json/5c10b401cc688e4f966e2ab5f41ab3a056685a3d.json,document_parses/pmc_json/PMC3858493.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3858493/,
js68cj0f,3236c24e4656add3fbf17ed686d2b7c73bb52de9,PMC,Detection of Acute HIV-1 Infection by RT-LAMP,10.1371/journal.pone.0126609,PMC4439053,25993381,cc0,"A rapid, cost-effective diagnostic test for the detection of acute HIV-1 infection is highly desired. Isothermal amplification techniques, such as reverse-transcription loop-mediated isothermal amplification (RT-LAMP), exhibit characteristics that are ideal for the development of a rapid nucleic acid amplification test (NAAT) because they are quick, easy to perform and do not require complex, dedicated equipment and laboratory space. In this study, we assessed the ability of the HIV-1 RT-LAMP assay to detect acute HIV infection as compared to a representative rapid antibody test and several FDA-approved laboratory-based assays. The HIV-1 RT-LAMP assay detected seroconverting individuals one to three weeks earlier than a rapid HIV antibody test and up to two weeks earlier than a lab-based antigen/antibody (Ag/Ab) combo enzyme immunoassay (EIA). RT-LAMP was not as sensitive as a lab-based qualitative RNA assay, which could be attributed to the significantly smaller nucleic acid input volume. To our knowledge, this is the first demonstration of detecting acute HIV infection using the RT-LAMP assay. The availability of a rapid NAAT, such as the HIV-1 RT-LAMP assay, at the point of care (POC) or in laboratories that do not have access to large platform NAAT could increase the percentage of individuals who receive an acute HIV infection status or confirmation of their HIV status, while immediately linking them to counseling and medical care. In addition, early knowledge of HIV status could lead to reduced high-risk behavior at a time when individuals are at a higher risk for transmitting the virus.",2015-05-20,"Rudolph, Donna L.; Sullivan, Vickie; Owen, S. Michele; Curtis, Kelly A.",PLoS One,,,,document_parses/pdf_json/3236c24e4656add3fbf17ed686d2b7c73bb52de9.json,document_parses/pmc_json/PMC4439053.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4439053/,
